y,pct,r,g,b,luma,jump
0,0.0,6.5,25.0,21.750868055555557,20.832312673611113,0.0
1,0.001001001001001001,6.749131944444445,26.0,22.0,21.618465451388886,1.0602515981998513
2,0.002002002002002002,7.0,25.625,22.0,21.403599999999997,0.45117599814066484
3,0.003003003003003003,6.5,26.0,22.5,21.6016,0.8003905296791061
4,0.004004004004004004,7.0,25.5,22.0,21.314199999999996,0.8660254037844386
5,0.005005005005005005,6.625868055555555,26.749131944444443,22.749131944444443,22.182126041666663,1.5038297764948159
6,0.006006006006006006,7.0,26.5,22.5,22.0655,0.5139145486743092
7,0.007007007007007007,7.5,26.5,23.0,22.2079,0.7071067811865476
8,0.008008008008008008,7.5,26.5,23.0,22.2079,0.0
9,0.009009009009009009,7.375868055555555,27.250868055555557,22.872395833333332,22.70931736111111,0.7716828362974238
10,0.01001001001001001,36.65277777777778,58.24652777777778,64.29513888888889,54.092406249999996,59.44503349099499
11,0.011011011011011011,51.40538194444444,63.38194444444444,61.62152777777778,60.70862517361111,15.848029228017127
12,0.012012012012012012,23.518229166666668,37.25694444444444,35.16059027777778,34.18473680555555,46.47999707863615
13,0.013013013013013013,22.89670138888889,36.638020833333336,34.53559027777778,33.56482083333333,1.0770274903363408
14,0.014014014014014014,22.90017361111111,36.638888888888886,34.552083333333336,33.567370659722215,0.0168769289021049
15,0.015015015015015015,22.401041666666668,36.14149305555556,34.052951388888886,33.069480381944445,0.8635207067274903
16,0.016016016016016016,21.8984375,35.643229166666664,33.578125,32.571985937499996,0.852254627976075
17,0.01701701701701702,21.90017361111111,35.654513888888886,33.588541666666664,32.58117795138889,0.015455289769758943
18,0.018018018018018018,21.513020833333332,35.283854166666664,33.21788194444444,32.20701180555555,0.6516628980514071
19,0.01901901901901902,20.88107638888889,34.66319444444444,32.6015625,31.584266319444442,1.0790838379169003
20,0.02002002002002002,20.87326388888889,34.66753472222222,32.611111111111114,31.58639895833333,0.013078575671286738
21,0.021021021021021023,20.368055555555557,34.18055555555556,32.118923611111114,31.095168229166667,0.8571071718245344
22,0.022022022022022022,19.85763888888889,33.68836805555556,31.6328125,30.599543923611108,0.8596962958586273
23,0.023023023023023025,19.860243055555557,33.690104166666664,31.647569444444443,30.602404687499995,0.015085197219601302
24,0.024024024024024024,19.61284722222222,33.44965277777778,31.40625,30.360414236111108,0.4210185780179591
25,0.025025025025025027,18.860243055555557,32.82899305555556,30.765625,29.710261631944444,1.1670612293697316
26,0.026026026026026026,18.856770833333332,32.837673611111114,30.76996527777778,29.71604513888889,0.010307588617223008
27,0.02702702702702703,17.99652777777778,54.16753472222222,40.57899305555556,45.4964859375,23.49297808025065
28,0.028028028028028028,17.55642361111111,54.123263888888886,40.328125,45.35314461805555,0.5085138793578954
29,0.02902902902902903,17.5625,54.4140625,40.46961805555556,45.57263142361111,0.3234517576030931
30,0.03003003003003003,17.602430555555557,54.517361111111114,40.52777777777778,45.659198958333334,0.1250903897724626
31,0.031031031031031032,16.725694444444443,53.78125,39.697916666666664,44.886422222222215,1.4139290081761717
32,0.03203203203203203,16.75,53.89930555555556,39.744791666666664,44.97940729166667,0.1293257122671107
33,0.03303303303303303,16.32465277777778,53.5234375,39.3203125,44.58951024305555,0.7087874276349017
34,0.03403403403403404,15.883680555555555,53.1328125,39.8125,44.2519204861111,0.7676541711948525
35,0.035035035035035036,16.219618055555557,53.83940972222222,40.71788194444444,44.89406770833333,1.1965993914775366
36,0.036036036036036036,17.48090277777778,56.408854166666664,44.19965277777778,47.251267361111104,4.507284330885762
37,0.037037037037037035,18.06684027777778,58.05902777777778,46.79600694444444,48.74349861111111,3.131684955336519
38,0.03803803803803804,17.80902777777778,58.951388888888886,47.03211805555556,49.343951562499996,0.9583966269607926
39,0.03903903903903904,16.87934027777778,57.44444444444444,45.032986111111114,47.92419600694444,2.670529711049184
40,0.04004004004004004,16.194444444444443,56.14930555555556,43.338541666666664,46.72996493055555,2.2400020132442653
