y,pct,r,g,b,luma,jump
0,0.0,15.0,44.0,38.125,37.410425,0.0
1,0.0011123470522803114,14.5,43.75,38.5,37.1524,0.673145600891813
2,0.002224694104560623,14.75,44.0,38.25,37.3663,0.4330127018922193
3,0.0033370411568409346,14.5,43.875,38.5,37.2418,0.375
4,0.004449388209121246,14.0,43.0,37.25,36.41945,1.6056540723331412
5,0.0055617352614015575,13.5,42.75,37.5,36.1524,0.6123724356957945
6,0.006674082313681869,13.75,43.0,37.25,36.3663,0.4330127018922193
7,0.00778642936596218,13.5,43.0,37.5,36.3312,0.3535533905932738
8,0.008898776418242492,14.0,43.0,37.375,36.428475,0.5153882032022076
9,0.010011123470522803,13.5,42.875,37.5,36.2418,0.5303300858899106
10,0.011123470522803115,13.875,43.0,37.25,36.392875,0.46770717334674267
11,0.012235817575083427,13.5,43.0,37.5,36.3312,0.45069390943299864
12,0.013348164627363738,14.0,43.0,37.5,36.4375,0.5
13,0.014460511679644048,13.5,43.125,37.5,36.4206,0.5153882032022076
14,0.01557285873192436,14.0,43.0,37.375,36.428475,0.5303300858899106
15,0.01668520578420467,13.5,43.0,37.5,36.3312,0.5153882032022076
16,0.017797552836484983,14.0,42.0,37.5,35.722300000000004,1.118033988749895
17,0.018909899888765295,13.5,42.25,36.5,35.7226,1.14564392373896
18,0.020022246941045607,6.272435897435898,25.560897435897434,24.076923076923077,21.353027564102565,22.024910158465904
19,0.021134593993325918,6.3076923076923075,25.30128205128205,23.993589743589745,21.168829487179487,0.2749320040257334
20,0.02224694104560623,36.75,57.416666666666664,61.92307692307692,53.34829615384615,58.28188418647857
21,0.02335928809788654,54.125,71.66666666666667,67.42307692307692,67.63092115384615,23.134457525518084
22,0.024471635150166853,29.75,49.30448717948718,44.43589743589744,44.79569102564102,40.28173428729995
23,0.025583982202447165,28.875,48.708333333333336,43.81730769230769,44.13863461538462,1.2262453584656092
24,0.026696329254727477,29.0,48.708333333333336,43.44230769230769,44.138134615384615,0.39528470752104744
25,0.027808676307007785,28.0,47.95192307692308,42.45192307692308,43.31304423076923,1.5978166861042467
26,0.028921023359288096,27.25,47.0,42.58974358974359,42.48272948717948,1.219693419730062
27,0.030033370411568408,27.5,46.875,43.0,42.476099999999995,0.4964225238206611
28,0.03114571746384872,27.0,47.0,43.0,42.459199999999996,0.5153882032022076
29,0.03225806451612903,26.375,46.0,42.25,41.556975,1.3975424859373686
30,0.03337041156840934,26.0,45.0,41.75,40.72595,1.1792476415070754
31,0.034482758620689655,25.5,45.0,41.5,40.6016,0.5590169943749475
32,0.035595105672969966,25.576923076923077,45.07051282051282,41.09935897435897,40.63945833333332,0.4140077886304582
33,0.03670745272525028,26.35576923076923,46.03846153846154,42.43589743589744,41.593816025641026,1.824790703371522
34,0.03781979977753059,26.637820512820515,47.17307692307692,44.09615384615385,42.58512756410256,2.0306049208327495
35,0.0389321468298109,35.80448717948718,56.86217948717949,53.993589743589745,52.17820192307692,16.60920599003244
36,0.04004449388209121,30.346153846153847,52.21474358974359,50.28846153846154,47.426403846153846,8.069698768540878
37,0.041156840934371525,30.80448717948718,53.256410256410255,53.13782051282051,48.47456923076923,3.068221871646327
38,0.042269187986651836,30.84294871794872,53.419871794871796,54.24679487179487,48.679721794871796,1.1216162861512085
39,0.04338153503893215,30.423076923076923,53.14102564102564,54.131410256410255,48.38269551282051,0.5170697352496189
40,0.04449388209121246,29.96794871794872,52.82371794871795,53.958333333333336,48.046500641025645,0.5811897074128454
41,0.04560622914349277,29.25,51.43589743589744,53.032051282051285,46.83441794871795,1.816451093736597
42,0.04671857619577308,28.82371794871795,51.10576923076923,52.57692307692308,46.47482243589744,0.70557969228828
43,0.047830923248053395,31.07371794871795,56.95192307692308,60.74038461538461,51.72374358974359,10.289903745071678
44,0.048943270300333706,35.11538461538461,65.03525641025641,72.97435897435898,59.24749487179486,15.210045228015082
45,0.05005561735261402,34.69230769230769,65.07371794871794,73.22115384615384,59.20287499999999,0.4913054869684483
46,0.05116796440489433,30.958333333333332,58.44551282051282,64.1025641025641,53.01017756410256,11.875367221561726
47,0.05228031145717464,28.935897435897434,55.06730769230769,60.17948717948718,49.880869230769235,5.558151616486133
48,0.05339265850945495,27.596153846153847,54.46474358974359,60.4775641025641,49.186607051282046,1.4989483767057892
49,0.054505005561735265,30.778846153846153,59.08653846153846,67.34615384615384,53.6646673076923,8.86950073161614
50,0.05561735261401557,30.932692307692307,59.92307692307692,69.6698717948718,54.46343974358974,2.4744959773417237
51,0.05672969966629588,33.43910256410256,61.18910256410256,70.58974358974359,55.96817884615384,2.9548396599770976
52,0.05784204671857619,38.93910256410256,64.99358974358974,73.62179487179488,60.077362179487174,7.3428507867088735
53,0.058954393770856504,36.24679487179487,61.708333333333336,70.9775641025641,56.96444871794871,5.003337561282141
54,0.060066740823136816,34.73717948717949,60.881410256410255,71.58333333333333,56.09582564102564,1.8247456659935146
55,0.06117908787541713,34.618589743589745,63.95192307692308,78.41346153846153,58.75977948717949,7.489510251458778
56,0.06229143492769744,31.060897435897434,57.94551282051282,69.71153846153847,53.07935064102564,11.156056828521878
57,0.06340378197997776,31.791666666666668,53.58974358974359,58.78846153846154,49.33081987179488,11.782205172539252
