y,pct,r,g,b,luma,jump
0,0.0,247.0,241.0,234.0,241.7702,0.0
1,0.0011123470522803114,247.0,241.0,234.0,241.7702,0.0
2,0.002224694104560623,247.0,241.0,234.0,241.7702,0.0
3,0.0033370411568409346,247.0,241.0,234.0,241.7702,0.0
4,0.004449388209121246,246.0,240.0,233.0,240.7702,1.7320508075688772
5,0.0055617352614015575,246.0,240.0,233.0,240.7702,0.0
6,0.006674082313681869,246.0,240.0,233.0,240.7702,0.0
7,0.00778642936596218,246.0,240.0,233.0,240.7702,0.0
8,0.008898776418242492,245.0,239.0,232.0,239.7702,1.7320508075688772
9,0.010011123470522803,245.0,239.0,232.0,239.7702,0.0
10,0.011123470522803115,244.01282051282053,238.01282051282053,231.01282051282053,238.78302051282054,1.7098450279846396
11,0.012235817575083427,244.0,238.0,231.0,238.7702,0.022205779584237834
12,0.013348164627363738,243.01282051282053,237.01282051282053,230.01282051282053,237.7830205128205,1.7098450279846396
13,0.014460511679644048,243.0,237.0,230.0,237.7702,0.022205779584237834
14,0.01557285873192436,242.01282051282053,236.01282051282053,229.01282051282053,236.78302051282049,1.7098450279846396
15,0.01668520578420467,242.0,236.0,229.0,236.7702,0.022205779584237834
16,0.017797552836484983,241.0,235.0,228.0,235.7702,1.7320508075688772
17,0.018909899888765295,224.09615384615384,219.81089743589743,213.1698717948718,220.24246089743585,27.1363511562676
18,0.020022246941045607,218.23397435897436,214.56410256410257,208.0,214.87038910256408,9.413903501842984
19,0.021134593993325918,224.20833333333334,219.60897435897436,212.98397435897436,220.10847307692308,9.272739454557675
20,0.02224694104560623,43.35576923076923,63.63461538461539,68.1826923076923,59.65170384615384,279.29028247260806
21,0.02335928809788654,60.76602564102564,77.89423076923077,73.6923076923077,73.94939551282052,23.169150197502383
22,0.024471635150166853,37.217948717948715,56.21153846153846,51.14423076923077,51.80764166666666,39.15439752332044
23,0.025583982202447165,36.39423076923077,55.243589743589745,50.57692307692308,50.89928269230769,1.3918599057987624
24,0.026696329254727477,36.58653846153846,55.31730769230769,50.31089743589744,50.973683333333334,0.3364316069678896
25,0.027808676307007785,35.67307692307692,54.64423076923077,49.42628205128205,50.234227564102554,1.4387456013227133
26,0.028921023359288096,35.84935897435897,54.55769230769231,50.217948717948715,50.26697115384615,0.8156594743155741
27,0.030033370411568408,36.18269230769231,54.52564102564103,50.38782051282051,50.32717948717949,0.37549277288012967
28,0.03114571746384872,35.756410256410255,54.72115384615385,50.506410256410255,50.384944871794865,0.4837408164655861
29,0.03225806451612903,35.243589743589745,53.73717948717949,49.81730769230769,49.522427564102564,1.306159546663889
30,0.03337041156840934,35.1025641025641,52.90384615384615,49.36538461538461,48.86381666666666,0.9584190854353674
31,0.034482758620689655,34.76602564102564,53.15384615384615,49.131410256410255,48.95417564102564,0.48010638066176026
32,0.035595105672969966,34.919871794871796,53.36217948717949,48.91346153846154,49.12014743589744,0.33848642585267985
33,0.03670745272525028,35.64423076923077,54.30769230769231,50.42948717948718,50.059833974358966,1.9279585477223553
34,0.03781979977753059,35.833333333333336,55.35897435897436,52.10576923076923,50.972941666666664,1.9876808714047445
35,0.0389321468298109,44.53525641025641,64.625,61.6474358974359,60.13894038461539,15.894215903737079
36,0.04004449388209121,39.592948717948715,60.1025641025641,58.05448717948718,55.59434871794872,7.601849265913522
37,0.041156840934371525,39.958333333333336,61.01923076923077,60.72435897435897,56.52039423076923,2.846401077850668
38,0.042269187986651836,39.93269230769231,61.43910256410256,61.75,56.88928653846154,1.1085527952257255
39,0.04338153503893215,39.44551282051282,61.21153846153846,61.57692307692308,56.61046217948717,0.5648759994955079
40,0.04449388209121246,38.98076923076923,60.94230769230769,61.40384615384615,56.30660769230769,0.5642937467402235
41,0.04560622914349277,38.25961538461539,59.55128205128205,60.48397435897436,55.0920141025641,1.8169147813846263
42,0.04671857619577308,37.83653846153846,59.22115384615385,60.041666666666664,54.73402564102564,0.6954241938097688
