y,pct,r,g,b,luma,jump
0,0.0,6.5,25.0,21.250868055555557,20.796212673611112,0.0
1,0.001001001001001001,6.749131944444445,25.0,22.0,20.903265451388886,0.7894715928580215
2,0.002002002002002002,6.5,25.625,21.5,21.2612,0.8382670968985183
3,0.003003003003003003,6.5,26.0,22.0,21.5655,0.625
4,0.004004004004004004,6.5,25.5,21.5,21.171799999999998,0.7071067811865476
5,0.005005005005005005,6.625868055555555,25.749131944444443,22.749131944444443,21.466926041666664,1.279937540579055
6,0.006006006006006006,6.5,25.752604166666668,22.0,21.388562500000003,0.7596403714413872
7,0.007007007007007007,7.5,26.5,22.5,22.1718,1.3448421958296914
8,0.008008008008008008,7.251736111111111,26.5,22.5,22.119019097222225,0.24826388888888928
9,0.009009009009009009,7.375868055555555,26.250868055555557,22.250868055555557,21.949243055555556,0.37355346487068836
10,0.01001001001001001,37.0,59.0,65.0,54.75599999999999,61.462046163303135
11,0.011011011011011011,51.75,64.75,61.75,61.769600000000004,16.161296358893985
12,0.012012012012012012,23.625,38.625,35.625,35.2194,46.433251824527645
13,0.013013013013013013,23.0,38.0,35.0,34.5944,1.0825317547305484
14,0.014014014014014014,23.0,38.0,35.0,34.5944,0.0
15,0.015015015015015015,22.5,37.5,34.5,34.09439999999999,0.8660254037844386
16,0.016016016016016016,22.0,37.0,34.0,33.5944,0.8660254037844386
17,0.01701701701701702,22.0,37.0,34.0,33.5944,0.0
18,0.018018018018018018,21.625,36.625,33.625,33.2194,0.649519052838329
19,0.01901901901901902,21.0,36.0,33.0,32.5944,1.0825317547305484
20,0.02002002002002002,21.0,36.0,33.0,32.5944,0.0
21,0.021021021021021023,20.5,35.5,32.5,32.0944,0.8660254037844386
22,0.022022022022022022,20.0,35.0,32.0,31.5944,0.8660254037844386
23,0.023023023023023025,20.0,35.0,32.0,31.5944,0.0
24,0.024024024024024024,19.75,34.75,31.75,31.344399999999997,0.4330127018922193
25,0.025025025025025027,19.0,34.0,32.0,30.6666,1.0897247358851685
26,0.026026026026026026,19.0,34.0,32.0,30.6666,0.0
